star.name,num.exoplanets,exoplanet.name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,mass.10.24.kg,radius_multiplier,radius_wrt,radius.km,orbital_radius,orbital_period,eccentricity,detection_method,J2000.hr,J2K.m,J2K.s,Equatorial.Angle.sign,EA.degree,EA.m,EA.s,Error,sign,declination.radians,right.ascension.radians,x.pos,y.pos,z.pos
11 Comae Berenices,1,11 Comae Berenices b,304,4.72307,Gas Giant,2007,19.4,Jupiter,36823.722,1.08,Jupiter,75503.88,1.29,0.8925394,0.23,Radial Velocity,12,20,43.02,+,17,47,34.3,0.001,1,0.504276526337678,3.23198761887371,-265.072690154432,-24.0267150650798,146.884941016681
11 Ursae Minoris,1,11 Ursae Minoris b,409,5.013,Gas Giant,2009,14.74,Jupiter,27978.4362,1.09,Jupiter,76202.99,1.53,1.4,0.08,Radial Velocity,15,17,5.88,+,71,49,26,0.001,1,1.45487737564161,4.00159491586374,-30.8633063900849,-35.8496183491611,406.255167576846
14 Andromedae,1,14 Andromedae b,246,5.23133,Gas Giant,2008,4.8,Jupiter,9111.024,1.15,Jupiter,80397.65,0.83,0.5086927,0,Radial Velocity,23,31,17.41,+,39,14,10.3,0.001,1,0.742513969234904,6.15791502733822,179.825434432765,-22.6453617973448,166.330997472314
14 Herculis,1,14 Herculis b,58,6.61935,Gas Giant,2002,8.13881,Jupiter,15448.5194253,1.12,Jupiter,78300.32,2.773069,4.8,0.37,Radial Velocity,16,10,24.31,+,43,49,3.5,0.001,1,0.96454893890945,4.23419130917442,-15.2078744841169,-29.3405829602516,47.6639354777587
16 Cygni B,1,16 Cygni B b,69,6.215,Gas Giant,1996,1.78,Jupiter,3378.6714,1.2,Jupiter,83893.2,1.66,2.2,0.68,Radial Velocity,19,41,51.97,+,50,31,3,0.001,1,1.00814580918322,5.15686398156435,15.826277229769,-33.2304058839229,58.3632510560904
17 Scorpii,1,17 Scorpii b,408,5.22606,Gas Giant,2020,4.32,Jupiter,8199.9216,1.15,Jupiter,80397.65,1.45,1.6,0.06,Radial Velocity,16,13,50.9,-,11,50,15.8,0.001,-1,-0.411301382642897,4.24921495793148,-167.087528651006,-334.571084467093,-163.119426212246
18 Delphini,1,18 Delphini b,249,5.51048,Gas Giant,2008,10.3,Jupiter,19550.739,1.11,Jupiter,77601.21,2.6,2.7,0.08,Radial Velocity,20,58,25.93,+,10,50,21.4,0.001,1,0.394255333615086,5.49094618033484,161.446157527773,-163.670302039647,95.6460686581962
1RXS J160929.1-210524,1,1RXS J160929.1-210524 b,454,12.618,Gas Giant,2008,8,Jupiter,15185.04,1.664,Jupiter,116331.904,330,6505.9,0,Direct Imaging,16,9,30.3,-,21,4,58.9,0.001,-1,-0.388255764311355,4.23026359113691,-194.835573144696,-372.310112601044,-171.872858509934
24 Bootis,1,24 Bootis b,313,5.59,Gas Giant,2018,0.91,Jupiter,1727.2983,1.24,Jupiter,86689.64,0.19,0.08323066,0.04,Radial Velocity,14,28,37.81,+,49,50,41.4,0.001,1,1.0763881829362,3.79011409762011,-118.368619429883,-89.7084976024367,275.518158008101
24 Sextantis,2,24 Sextantis b,235,6.4535,Gas Giant,2010,1.99,Jupiter,3777.2787,1.19,Jupiter,83194.09,1.333,1.2396988,0.09,Radial Velocity,10,23,28.36,-,0,54,8,0.001,-1,-0.236201225436566,2.72041270738061,-208.507901641715,93.4091530346339,-54.9925911584575
24 Sextantis,2,24 Sextantis c,235,6.4535,Gas Giant,2010,0.86,Jupiter,1632.3918,1.24,Jupiter,86689.64,2.08,2.4,0.29,Radial Velocity,10,23,28.36,-,0,54,8,0.001,-1,-0.236201225436566,2.72041270738061,-208.507901641715,93.4091530346339,-54.9925911584575
2M0437,1,2M0437 b,419,16.186,Gas Giant,2021,4,Jupiter,7592.52,1.16,Jupiter,81096.76,118,3110.6,0,Direct Imaging,,,,,,,,,,,,,,
2MASS J01033563-5515561 AB,1,2MASS J01033563-5515561 AB b,154,15.788,Gas Giant,2013,13,Jupiter,24675.69,1.1,Jupiter,76902.1,84,1767.2,0,Direct Imaging,1,3,35.63,-,55,15,56.1,,-1,-1.02946064267321,0.277480443907797,76.3179303559025,21.7375142287232,-131.981263751139
2MASS J01225093-2439505,1,2MASS J01225093-2439505 b,110,14.244,Gas Giant,2013,24.5,Jupiter,46504.185,1,Jupiter,69911,52,593.2,0,Direct Imaging,1,22,50.93,-,24,39,50.5,0.001,-1,-0.592721086182491,0.361496230775674,85.3398656544893,32.2680299208831,-61.4482023748354
2MASS J02192210-3925225,1,2MASS J02192210-3925225 b,131,,Gas Giant,2015,13.9,Jupiter,26384.007,1.44,Jupiter,100671.84,156,5878.1,0,Direct Imaging,2,19,22.1,-,39,25,22.5,0.001,-1,-0.791397732701179,0.608109072420908,75.5675299350309,52.6031584729565,-93.1850639222147
2MASS J04414489+2301513,1,2MASS J04414489+2301513 b,393,,Gas Giant,2010,7.5,Jupiter,14235.975,1.13,Jupiter,78999.43,15,411,0,Direct Imaging,4,41,44.89,+,23,1,51.3,0.001,1,0.409519692364819,1.22935829244777,120.711940432122,339.693293073114,156.480331282418
2MASS J12073346-3932539,1,2MASS J12073346-3932539 b,210,20.15,Gas Giant,2004,5,Jupiter,9490.65,1.15,Jupiter,80397.65,55,2885.9,0,Direct Imaging,12,7,33.46,-,39,32,53.9,0.001,-1,-0.824224467049106,3.17456919536518,-142.539012457264,-4.70214827649778,-154.144476804373
2MASS J19383260+4603591,1,2MASS J19383260+4603591 b,1293,12.651,Gas Giant,2015,1.9,Jupiter,3606.447,1.2,Jupiter,83893.2,0.92,1.1115674,0.33,Eclipse Timing Variations,19,38,32.6,+,46,3,59.1,0.001,1,0.820239298590385,5.14236538602393,367.613515025109,-801.612633600462,945.582618930263
2MASS J22362452+4751425,1,2MASS J22362452+4751425 b,227,12.368,Gas Giant,2016,12.5,Jupiter,23726.625,1.1,Jupiter,76902.1,230,4505.7,0,Direct Imaging,22,36,24.52,+,47,51,42.5,0.001,1,1.04592491528369,5.9184493089799,106.267379965685,-40.5749619606105,196.443163324977
30 Arietis B,1,30 Arietis B b,146,7.09209,Gas Giant,2009,13.82,Jupiter,26232.1566,1.1,Jupiter,76902.1,0.99,0.9174538,0.29,Radial Velocity,,,,,,,,,,,,,,
4 Ursae Majoris,1,4 Ursae Majoris b,240,4.5801,Gas Giant,2006,7.1,Jupiter,13476.723,1.13,Jupiter,78999.43,0.87,0.7373032,0.43,Radial Velocity,8,40,12.81,+,64,19,40.5,0.001,1,1.20285910385884,2.26985959708088,-55.5508346322367,66.0777975900407,223.937110451375
42 Draconis,1,42 Draconis b,296,4.8262,Gas Giant,2008,3.88,Jupiter,7364.7444,1.16,Jupiter,81096.76,1.19,1.3117043,0.38,Radial Velocity,18,25,59.13,+,65,33,48.5,0.001,1,1.28198069661592,4.82577211357894,9.53839518592711,-83.7645378474678,283.740235455737
47 Ursae Majoris,3,47 Ursae Majoris b,45,5.03352,Gas Giant,1996,2.53,Jupiter,4802.2689,1.18,Jupiter,82494.98,2.1,3,0.03,Radial Velocity,10,59,27.97,+,40,25,48.9,0.001,1,0.810770887398316,2.87746397845975,-29.927145829236,8.0937151493205,32.6168318142229
47 Ursae Majoris,3,47 Ursae Majoris c,45,5.03352,Gas Giant,2001,0.54,Jupiter,1024.9902,1.27,Jupiter,88786.97,3.6,6.6,0.1,Radial Velocity,10,59,27.97,+,40,25,48.9,0.001,1,0.810770887398316,2.87746397845975,-29.927145829236,8.0937151493205,32.6168318142229
47 Ursae Majoris,3,47 Ursae Majoris d,45,5.03352,Gas Giant,2009,1.64,Jupiter,3112.9332,1.2,Jupiter,83893.2,11.6,38.4,0.16,Radial Velocity,10,59,27.97,+,40,25,48.9,0.001,1,0.810770887398316,2.87746397845975,-29.927145829236,8.0937151493205,32.6168318142229
51 Eridani,1,51 Eridani b,97,5.21149,Gas Giant,2015,2,Jupiter,3796.26,1.19,Jupiter,83194.09,13.2,32,0.45,Direct Imaging,4,37,36.13,-,2,28,24.7,0.001,-1,-0.158875867368001,1.21126795475085,33.6979678404648,89.6545640658427,-15.3462081826983
51 Pegasi,1,51 Pegasi b,50,5.45309,Gas Giant,1995,0.46,Jupiter,873.1398,1.27,Jupiter,88786.97,0.0527,0.011498973,0.01,Radial Velocity,22,57,27.98,+,20,46,7.7,0.001,1,0.550338674179895,6.0103307130101,41.0407668184697,-11.4845943950273,26.1487963496162
55 Cancri,5,55 Cancri b,41,5.95084,Gas Giant,1996,0.8306,Jupiter,1576.586778,1.24,Jupiter,86689.64,0.1134,0.040246405,0,Radial Velocity,8,52,35.81,+,28,19,50.9,0.001,1,0.575296882483414,2.32389208184054,-23.5263613355879,25.0975782178423,22.3074402365363
55 Cancri,5,55 Cancri c,41,5.95084,Gas Giant,2004,0.1714,Jupiter,325.339482,0.76,Jupiter,53132.36,0.2373,0.12156058,0.03,Radial Velocity,8,52,35.81,+,28,19,50.9,0.001,1,0.575296882483414,2.32389208184054,-23.5263613355879,25.0975782178423,22.3074402365363
55 Cancri,5,55 Cancri d,41,5.95084,Gas Giant,2002,3.878,Jupiter,7360.94814,1.16,Jupiter,81096.76,5.957,15.3,0.13,Radial Velocity,8,52,35.81,+,28,19,50.9,0.001,1,0.575296882483414,2.32389208184054,-23.5263613355879,25.0975782178423,22.3074402365363
55 Cancri,5,55 Cancri e,41,5.95084,Super Earth,2004,7.99,Earth,47.717878,1.875,Earth,11945.625,0.01544,0.0019164955,0.05,Radial Velocity,8,52,35.81,+,28,19,50.9,0.001,1,0.575296882483414,2.32389208184054,-23.5263613355879,25.0975782178423,22.3074402365363
55 Cancri,5,55 Cancri f,41,5.95084,Gas Giant,2007,0.141,Jupiter,267.63633,0.677,Jupiter,47329.747,0.7708,0.7115674,0.08,Radial Velocity,8,52,35.81,+,28,19,50.9,0.001,1,0.575296882483414,2.32389208184054,-23.5263613355879,25.0975782178423,22.3074402365363
6 Lyncis,1,6 Lyncis b,178,5.87307,Gas Giant,2008,2.01,Jupiter,3815.2413,1.19,Jupiter,83194.09,2.11,2.6,0.07,Radial Velocity,6,30,47.1,+,58,9,45.4,0.001,1,1.05486245549494,1.70512122935151,-11.7604127287267,87.0247849231198,154.830163409895
61 Virginis,3,61 Virginis b,28,4.6955,Neptune-like,2009,5.1,Earth,30.45822,2.11,Earth,13442.81,0.050201,0.011498973,0.12,Radial Velocity,13,18,24.31,-,18,18,40.2,0.001,-1,-0.395622508195815,3.48369973081685,-24.3399234152922,-8.66767516409284,-10.7907152398475
61 Virginis,3,61 Virginis c,28,4.6955,Neptune-like,2009,18.2,Earth,108.69404,0.398,Jupiter,27824.578,0.2175,0.10403833,0.14,Radial Velocity,13,18,24.31,-,18,18,40.2,0.001,-1,-0.395622508195815,3.48369973081685,-24.3399234152922,-8.66767516409284,-10.7907152398475
61 Virginis,3,61 Virginis d,28,4.6955,Neptune-like,2009,22.9,Earth,136.76338,0.456,Jupiter,31879.416,0.476,0.33675563,0.35,Radial Velocity,13,18,24.31,-,18,18,40.2,0.001,-1,-0.395622508195815,3.48369973081685,-24.3399234152922,-8.66767516409284,-10.7907152398475
7 Canis Majoris,2,7 Canis Majoris b,65,3.95,Gas Giant,2011,1.85,Jupiter,3511.5405,1.2,Jupiter,83893.2,1.758,2,0.06,Radial Velocity,6,36,41.03,-,19,15,21.1,0.001,-1,-0.398596840129422,1.73085974527478,-9.54761569916526,59.1386751219866,-25.2281616309468
7 Canis Majoris,2,7 Canis Majoris c,65,3.95,Gas Giant,2019,0.87,Jupiter,1651.3731,1.24,Jupiter,86689.64,2.153,2.7,0.08,Radial Velocity,6,36,41.03,-,19,15,21.1,0.001,-1,-0.398596840129422,1.73085974527478,-9.54761569916526,59.1386751219866,-25.2281616309468
70 Virginis,1,70 Virginis b,58,4.96808,Gas Giant,1996,7.49,Jupiter,14216.9937,1.13,Jupiter,78999.43,0.481,0.31950718,0.4,Radial Velocity,13,28,25.8,+,13,46,43.6,0.001,1,0.430776348213067,3.52744131797444,-48.8265995485737,-19.8338717216851,24.2194283386491
75 Ceti,1,75 Ceti b,271,5.3532,Gas Giant,2012,3,Jupiter,5694.39,1.17,Jupiter,81795.87,2.1,1.9,0.12,Radial Velocity,2,32,9.42,-,1,2,5.6,0.001,-1,-0.026587182272047,0.663910157489253,213.361136456215,166.931494436603,-7.20427756785649
8 Ursae Minoris,1,8 Ursae Minoris b,530,6.83295,Gas Giant,2015,1.31,Jupiter,2486.5503,1.22,Jupiter,85291.42,0.49,0.25571528,0.06,Radial Velocity,14,56,48.35,+,74,54,3.3,0.001,1,1.52740307826719,3.91305363568955,-16.4822306449935,-16.0290852010252,529.501090178843
81 Ceti,1,81 Ceti b,330,5.64307,Gas Giant,2008,5.3,Jupiter,10060.089,1.14,Jupiter,79698.54,2.5,2.6,0.21,Radial Velocity,2,37,41.8,-,3,23,46.2,0.001,-1,-0.156076068359593,0.688081513188331,251.815190304417,207.021266561921,-51.2962486254935
91 Aquarii,1,91 Aquarii b,144,4.23946,Gas Giant,2013,3.2,Jupiter,6074.016,1.17,Jupiter,81795.87,0.7,0.4966461,0.03,Radial Velocity,23,15,53.49,-,9,5,15.8,0.001,-1,-0.180045256753648,6.09072566890061,139.056591993648,-27.0981892679368,-25.7866702292304
AB Aurigae,1,AB Aurigae b,529,7.076,Gas Giant,2022,9,Jupiter,17083.17,1.12,Jupiter,78300.32,93.9,587.7,0.4,Direct Imaging,4,55,45.84,+,30,33,4.2,0.001,1,0.66789387150693,1.29051390221713,114.892239515512,399.125228828833,327.627570591124
AB Pictoris,1,AB Pictoris b,163,9.13,Gas Giant,2005,13.5,Jupiter,25624.755,1.1,Jupiter,76902.1,260,4421.7,0,Direct Imaging,6,19,12.91,-,58,3,15.5,0.001,-1,-1.02650812735525,1.6546383079581,-7.06821962145614,84.1064320361029,-139.445861758387
Alpha Arietis,1,Alpha Arietis b,66,2.00538,Gas Giant,2010,1.8,Jupiter,3416.634,1.2,Jupiter,83893.2,1.2,1.0425736,0.25,Radial Velocity,2,7,10.4,+,23,27,44.7,0.003,1,0.522486128200153,0.554898346850731,48.6125739675187,30.1332426219543,32.9363832461757
Alpha Tauri,1,Alpha Tauri b,67,0.872,Gas Giant,2015,6.47,Jupiter,12280.9011,1.13,Jupiter,78999.43,1.46,1.7,0.1,Radial Velocity,4,35,55.23,+,16,30,33.4,0.007,1,0.412581290761026,1.20393029968725,22.0157665287375,57.2936215161129,26.8653486431971
AU Microscopii,2,AU Microscopii b,32,8.81,Neptune-like,2020,20.12,Earth,120.160664,0.363,Jupiter,25377.693,0.0645,0.023271732,0.19,Transit,20,45,9.53,-,31,20,27.2,0.001,-1,-0.630296570536886,5.4330303379895,17.0584044260276,-19.4242098776477,-18.8602998138199
AU Microscopii,2,AU Microscopii c,32,8.81,Neptune-like,2021,9.6,Earth,57.33312,0.289,Jupiter,20204.279,0.1101,0.051745377,0.04,Transit,20,45,9.53,-,31,20,27.2,0.001,-1,-0.630296570536886,5.4330303379895,17.0584044260276,-19.4242098776477,-18.8602998138199
b Centauri AB,1,b Centauri AB b,320,4.01,Gas Giant,2021,10.9,Jupiter,20689.617,1.11,Jupiter,77601.21,556,4904.1,0.4,Direct Imaging,,,,,,,,,,,,,,
BD-00 4475,1,BD-00 4475 b,139,9.01,Gas Giant,2021,25.05,Jupiter,47548.1565,1.07,Jupiter,74804.77,1.48,2,0.39,Radial Velocity,23,10,50.63,+,0,24,35,0.001,1,0.107265026945485,6.06870106818148,135.03441549982,-29.4152107536879,14.8812636203437
BD-06 1339,2,BD-06 1339 b,66,9.7,Neptune-like,2013,8.5,Earth,50.7637,0.254,Jupiter,17757.394,0.0428,0.010677618,0,Radial Velocity,5,53,0.28,-,5,59,41.4,0.001,-1,-0.34771322022857,1.5402734270596,1.89365764667182,62.0212873879809,-22.489419099983
BD-06 1339,2,BD-06 1339 c,66,9.7,Gas Giant,2013,0.17,Jupiter,322.6821,0.747,Jupiter,52223.517,0.435,0.34469542,0.31,Radial Velocity,5,53,0.28,-,5,59,41.4,0.001,-1,-0.34771322022857,1.5402734270596,1.89365764667182,62.0212873879809,-22.489419099983
BD-08 2823,2,BD-08 2823 b,135,9.86,Neptune-like,2009,12.7132,Earth,75.92577304,0.322,Jupiter,22511.342,0.06,0.015331964,0.15,Radial Velocity,10,0,47.72,-,9,31,0,0.001,-1,-0.29234264970905,2.62146417432088,-112.176583526847,64.2471685121709,-38.9064961981021
BD-08 2823,2,BD-08 2823 c,135,9.86,Gas Giant,2009,0.33,Jupiter,626.3829,1.11,Jupiter,77601.21,0.68,0.65051335,0.19,Radial Velocity,10,0,47.72,-,9,31,0,0.001,-1,-0.29234264970905,2.62146417432088,-112.176583526847,64.2471685121709,-38.9064961981021
BD-10 3166,1,BD-10 3166 b,275,10.013,Gas Giant,2000,0.59,Jupiter,1119.8967,1.26,Jupiter,88087.86,0.04,0.009582478,0.02,Radial Velocity,10,58,28.78,-,10,46,13.3,0.001,-1,-0.376212992472594,2.87315956019202,-246.607605289421,67.8348328505021,-101.035263475489
BD-11 4672,2,BD-11 4672 b,89,10.03,Gas Giant,2014,0.65,Jupiter,1233.7845,1.25,Jupiter,87388.75,2.36,4.5,0.05,Radial Velocity,18,33,28.83,-,11,38,9.7,0.001,-1,-0.358497900564852,4.85847522043818,12.1318338199778,-82.4540914359844,-31.2272543402517
BD-11 4672,2,BD-11 4672 c,89,10.03,Neptune-like,2020,15.37,Earth,91.792714,0.36,Jupiter,25167.96,0.3,0.20314851,0.4,Radial Velocity,18,33,28.83,-,11,38,9.7,0.001,-1,-0.358497900564852,4.85847522043818,12.1318338199778,-82.4540914359844,-31.2272543402517
BD-13 2130,1,BD-13 2130 b,3018,10.038,Gas Giant,2007,9.78,Jupiter,18563.7114,1.11,Jupiter,77601.21,1.66,2,0.21,Radial Velocity,7,37,9.23,-,13,54,23.9,0.001,-1,-0.464250308825275,1.99470989494502,-1110.00373632657,2459.70674126831,-1351.31730259784
BD-17 63,1,BD-17 63 b,112,9.62,Gas Giant,2008,5.1,Jupiter,9680.463,1.15,Jupiter,80397.65,1.34,1.8,0.54,Radial Velocity,0,28,34.3,-,16,13,34.8,0.001,-1,-0.3385066084243,0.124667414028912,104.824287447632,13.1362980860681,-37.1928277183936
